============================================================
Stage 1 | episodes=500 drop=0.0 lr=0.0001
============================================================
[STEP] az=0.00 prev_primary=3 action=[1, 2] reward=-0.820
[STEP] az=65.56 prev_primary=1 action=[6, 4] reward=-0.011
[STEP] az=39.72 prev_primary=6 action=[1, 2] reward=-0.012
[STEP] az=65.55 prev_primary=1 action=[3, 5] reward=-1.000
[STEP] az=65.55 prev_primary=3 action=[4, 3] reward=+1.000
[STEP] az=65.55 prev_primary=4 action=[1, 4] reward=-0.012
[STEP] az=49.46 prev_primary=1 action=[1, 4] reward=+1.777
[STEP] az=50.13 prev_primary=1 action=[4, 6] reward=+0.000
[STEP] az=124.14 prev_primary=4 action=[3, 5] reward=-1.000
[STEP] az=124.14 prev_primary=3 action=[5, 3] reward=+0.795
[STEP] az=124.14 prev_primary=5 action=[4, 5] reward=+0.000
[STEP] az=79.17 prev_primary=4 action=[2, 6] reward=+0.926
[STEP] az=55.71 prev_primary=2 action=[6, 5] reward=-0.011
[STEP] az=93.25 prev_primary=6 action=[2, 5] reward=+0.831
[STEP] az=93.25 prev_primary=2 action=[2, 4] reward=+0.201
[STEP] az=44.90 prev_primary=2 action=[4, 3] reward=+1.000
[STEP] az=44.90 prev_primary=4 action=[6, 5] reward=-0.011
[STEP] az=83.99 prev_primary=6 action=[5, 6] reward=-0.205
[STEP] az=93.24 prev_primary=5 action=[5, 1] reward=-0.205
[STEP] az=347.80 prev_primary=5 action=[3, 4] reward=-1.000
[STEP] az=347.80 prev_primary=3 action=[4, 1] reward=+0.605
[STEP] az=44.21 prev_primary=4 action=[4, 3] reward=+0.857
[STEP] az=56.90 prev_primary=4 action=[4, 5] reward=+0.000
[STEP] az=79.16 prev_primary=4 action=[5, 6] reward=-0.205
[STEP] az=93.25 prev_primary=5 action=[5, 2] reward=+0.795
[STEP] az=93.25 prev_primary=5 action=[1, 5] reward=-0.012
[STEP] az=53.12 prev_primary=1 action=[3, 2] reward=-1.000
[STEP] az=53.12 prev_primary=3 action=[3, 5] reward=-1.000
[STEP] az=53.12 prev_primary=3 action=[2, 3] reward=+0.715
[STEP] az=53.12 prev_primary=2 action=[6, 1] reward=-0.011
[STEP] az=12.30 prev_primary=6 action=[3, 5] reward=-1.000
[STEP] az=12.30 prev_primary=3 action=[1, 3] reward=+0.445
[STEP] az=12.30 prev_primary=1 action=[6, 1] reward=-0.011
[STEP] az=13.68 prev_primary=6 action=[5, 2] reward=-0.205
[STEP] az=32.68 prev_primary=5 action=[5, 3] reward=+0.795
[STEP] az=32.68 prev_primary=5 action=[4, 2] reward=+0.000
[STEP] az=25.19 prev_primary=4 action=[6, 5] reward=-0.011
[STEP] az=93.26 prev_primary=6 action=[2, 3] reward=+0.352
[STEP] az=93.26 prev_primary=2 action=[4, 5] reward=+0.000
[STEP] az=79.15 prev_primary=4 action=[5, 2] reward=+0.795
[STEP] az=79.15 prev_primary=5 action=[5, 4] reward=-0.205
[STEP] az=79.16 prev_primary=5 action=[6, 5] reward=-0.011
[STEP] az=71.41 prev_primary=6 action=[1, 6] reward=-0.012
[STEP] az=58.18 prev_primary=1 action=[3, 2] reward=-1.000
[STEP] az=58.18 prev_primary=3 action=[1, 5] reward=-0.012
[STEP] az=42.83 prev_primary=1 action=[4, 5] reward=+0.000
[STEP] az=79.17 prev_primary=4 action=[3, 5] reward=-1.000
