16:31:51:040:273 Monitoring new COM ports...
16:31:51:114:204 [/dev/ttyS0] open error: Could not configure port: (5, 'Input/output error')
16:31:51:114:437 [/dev/ttyS15] open error: Could not configure port: (5, 'Input/output error')
16:31:51:114:574 [/dev/ttyS14] open error: Could not configure port: (5, 'Input/output error')
16:31:51:114:722 [/dev/ttyS25] open error: Could not configure port: (5, 'Input/output error')
16:31:51:114:913 [/dev/ttyS1] open error: Could not configure port: (5, 'Input/output error')
16:31:51:115:129 [/dev/ttyS8] open error: Could not configure port: (5, 'Input/output error')
16:31:51:115:152 [/dev/ttyS4] open error: Could not configure port: (5, 'Input/output error')
16:31:51:115:344 [/dev/ttyS19] open error: Could not configure port: (5, 'Input/output error')
16:31:51:115:509 [/dev/ttyS2] open error: Could not configure port: (5, 'Input/output error')
16:31:51:115:529 [/dev/ttyS3] open error: Could not configure port: (5, 'Input/output error')
16:31:51:115:891 [/dev/ttyS21] open error: Could not configure port: (5, 'Input/output error')
16:31:51:116:224 [/dev/ttyS28] open error: Could not configure port: (5, 'Input/output error')
16:31:51:116:356 [/dev/ttyS29] open error: Could not configure port: (5, 'Input/output error')
16:31:51:116:146 [/dev/ttyS10] open error: Could not configure port: (5, 'Input/output error')
16:31:51:116:670 [/dev/ttyS11] open error: Could not configure port: (5, 'Input/output error')
16:31:51:116:753 [/dev/ttyS31] open error: Could not configure port: (5, 'Input/output error')
16:31:51:117:167 [/dev/ttyS24] open error: Could not configure port: (5, 'Input/output error')
16:31:51:117:191 [/dev/ttyS20] open error: Could not configure port: (5, 'Input/output error')
16:31:51:117:558 [/dev/ttyS27] open error: Could not configure port: (5, 'Input/output error')
16:31:51:117:601 [/dev/ttyS9] open error: Could not configure port: (5, 'Input/output error')
16:31:51:118:131 [/dev/ttyS12] open error: Could not configure port: (5, 'Input/output error')
16:31:51:117:447 [/dev/ttyS23] open error: Could not configure port: (5, 'Input/output error')
16:31:51:118:309 [/dev/ttyS7] open error: Could not configure port: (5, 'Input/output error')
16:31:51:118:762 [/dev/ttyS5] open error: Could not configure port: (5, 'Input/output error')
16:31:51:119:702 [/dev/ttyS26] open error: Could not configure port: (5, 'Input/output error')
16:31:51:118:475 [/dev/ttyS22] open error: Could not configure port: (5, 'Input/output error')
16:31:51:118:667 [/dev/ttyS16] open error: Could not configure port: (5, 'Input/output error')
16:31:51:122:677 [/dev/ttyS13] open error: Could not configure port: (5, 'Input/output error')
16:31:51:123:299 [/dev/ttyS6] open error: Could not configure port: (5, 'Input/output error')
16:31:51:123:356 [/dev/ttyS17] open error: Could not configure port: (5, 'Input/output error')
16:31:51:123:668 [/dev/ttyS18] open error: Could not configure port: (5, 'Input/output error')
16:31:51:123:722 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:31:51:428:712 [/dev/ttyS13] open error: Could not configure port: (5, 'Input/output error')
16:31:51:429:151 [/dev/ttyS6] open error: Could not configure port: (5, 'Input/output error')
16:31:51:429:201 [/dev/ttyS17] open error: Could not configure port: (5, 'Input/output error')
16:31:51:429:482 [/dev/ttyS18] open error: Could not configure port: (5, 'Input/output error')
16:31:51:429:621 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:31:51:734:662 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:31:52:039:362 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:31:52:345:239 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:31:52:650:286 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:31:52:955:886 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:31:53:260:859 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:31:53:565:478 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:31:53:870:864 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:31:54:175:757 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:31:54:480:670 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:31:54:785:428 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:31:55:090:354 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:31:55:395:118 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:31:55:699:893 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:31:56:004:812 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:31:56:309:814 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:31:56:614:464 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:31:56:919:320 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:31:57:224:070 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:31:57:528:896 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:31:57:833:820 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:31:58:138:528 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:31:58:443:373 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:31:58:748:234 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:31:59:053:438 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:31:59:358:297 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:31:59:663:061 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:31:59:967:865 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:00:272:757 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:00:577:534 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:00:882:360 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:01:188:188 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:01:493:353 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:01:798:959 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:02:104:489 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:02:409:138 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:02:714:042 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:03:019:047 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:03:323:843 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:03:628:765 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:03:933:931 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:03:934:349 [/dev/ttyACM0] opened.
16:32:04:239:377 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:04:544:465 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:04:849:645 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:05:154:759 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:05:459:796 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:05:765:059 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:06:070:323 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:06:375:439 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:06:680:660 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:06:985:872 [/dev/ttyACM0] disconnected. removed.
16:32:06:985:952 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:06:999:138 [/dev/ttyACM0] open error: [Errno 5] Input/output error
16:32:07:290:837 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:07:595:831 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:07:900:776 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:08:205:657 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:08:510:300 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:08:815:240 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:09:119:980 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:09:425:708 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:09:731:023 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:10:036:011 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:10:341:239 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:10:646:532 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:10:951:327 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:11:256:276 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:11:563:436 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
